host_id,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability
12679676,52.37255,4.8976,99,2,422,6.74,1,122
92294722,52.35642,4.80314,70,1,77,6.72,2,290
7270724,52.37643,4.82008,50,1,243,6.71,3,62
58813481,52.3858,4.89069,110,2,261,6.69,1,123
39146647,52.36242,4.90928,75,2,301,6.69,2,187
11225917,52.35463,4.99727,50,2,305,6.69,2,225
197060667,52.36457,4.88924,120,2,67,6.68,5,157
239558613,52.33489,4.90286,180,1,18,6.67,1,87
241449179,52.37221,4.87802,165,2,18,6.67,2,307
129536828,52.36251,4.88402,99,1,94,6.67,2,114
76306702,52.37596,4.88179,250,1,107,6.67,1,165
6142269,52.36011,4.87771,110,2,216,6.67,1,126
151062320,52.37954,4.88265,99,2,30,6.62,2,223
67859842,52.3694,4.86946,96,2,243,6.62,1,3
158152584,52.37517,4.89781,120,1,117,6.61,2,78
244970332,52.35391,4.83964,60,1,11,6.6,1,0
180288270,52.35246,4.88496,120,2,88,6.6,2,246
197060667,52.36315,4.88801,120,2,65,6.59,5,161
8741023,52.39941,4.90582,99,2,58,6.57,2,85
251327132,52.37531,4.90143,125,1,7,6.56,1,56
75329145,52.34126,4.90597,65,1,84,6.55,2,61
20979476,52.38268,4.848,56,1,166,6.54,2,18
21815829,52.38722,4.88199,85,2,176,6.54,1,0
76731795,52.37835,4.88281,140,2,27,6.53,2,203
126555379,52.35005,4.85112,100,1,157,6.53,2,183
14970026,52.34296,4.92189,67,1,40,6.52,1,12
30167115,52.37932,4.84849,85,1,73,6.52,1,0
41141933,52.34404,4.9282,68,1,128,6.49,2,109
188098,52.37537,4.88932,210,13,683,6.49,1,365
41888346,52.38051,4.87493,90,3,57,6.48,1,173
207080206,52.35872,4.83527,50,1,58,6.47,1,20
22231426,52.35387,4.85975,67,1,351,6.43,1,76
5646154,52.38342,4.90771,94,2,477,6.43,2,180
25836004,52.37331,4.87614,119,1,245,6.41,1,172
69971797,52.35996,4.92418,100,2,211,6.37,5,66
1552059,52.37498,4.94208,60,1,354,6.37,2,227
4172093,52.36388,4.90266,139,3,188,6.36,2,123
197286521,52.37283,4.8492,85,1,36,6.35,6,215
31817443,52.38739,4.88307,80,1,310,6.35,2,101
4946643,52.37473,4.88068,170,1,8,6.32,2,9
